rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,release_date,duration
113,Sơn Tùng M-TP,Nơi Này Có Anh,Universal Music Indochina Distributed Labels,5,112,252,171411,3,2017-04-01,260.0
114,j-hope,on the street (solo version),BIGHIT MUSIC,114,-1,1,169542,3,2024-03-29,192.0
115,Low G,Tán Gái 505,Rap Nhà Làm,65,118,46,168898,3,2021-05-31,156.0
116,Vũ.,Lạ Lùng,WM Vietnam,17,108,313,168114,3,2016-12-24,262.0
117,Da LAB,Thanh Xuân,Sony Music Entertainment,1,123,293,166080,3,2018-08-24,221.0
118,"SUNI Hạ Linh, Hoàng Dũng, GREY D, Orange, tlinh",có hẹn với thanh xuân,Universal Music Indochina Distributed Labels,27,107,88,165988,3,2022-07-24,222.0
119,Andiez,Suýt Nữa Thì...,MaiDao Music,82,111,91,165359,3,2018-08-13,281.0
120,"Đen, Phương Anh Đào",Lối Nhỏ,Đen,1,130,232,164576,3,2019-10-21,253.0
121,Ronboogz,Anh Chỉ Muốn,MaiDao Music,117,124,12,164004,3,2023-10-18,168.0
122,AMEE,trời giấu trời mang đi,Yin Yang Media,52,121,62,163590,3,2020-06-29,254.0
123,"GREY D, Orange, Kai Đinh",lời tạm biệt chưa nói,Universal Music Indochina Distributed Labels,22,125,89,163133,3,2022-07-24,259.0
124,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,106,127,76,162845,3,2022-03-28,270.0
125,Thắng,Trước Khi Em Tồn Tại,Thắng,22,113,46,159811,3,2023-04-30,194.0
126,"BigDaddy, Emily",Mượn Rượu Tỏ Tình,MUNIZ MUSIC COMPANY LIMITED,1,117,160,159674,3,2019-01-18,198.0
127,Bùi Anh Tuấn,"Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu""",Vietnam Music Award,109,109,4,159108,3,2024-03-04,260.0
128,Thịnh Suy,tiny love,Yin Yang Media,3,146,122,158546,3,2021-12-05,158.0
129,Andiez,Chờ Đợi Có Đáng Sợ,Yin Yang Media,76,126,94,158465,3,2020-07-20,283.0
130,"PhucXp, Freak D",Như Anh Đã Thấy Em,MaiDao Music,33,120,67,158168,3,2022-05-20,302.0
131,"Đen, MIN",Bài Này Chill Phết,Đen,1,136,253,156781,3,2019-01-01,276.0
132,Tate McRae,greedy,RCA Records Label,107,140,26,156741,3,2023-09-15,132.0
133,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,-1,18,156072,3,2021-06-01,310.0
134,"NÂN, Ngơ",Tình Đắng Như Ly Cà Phê,nân,15,128,222,156035,3,2018-04-01,215.0
135,Nguyễn Minh Xuân Ái,Là Từ Lúc,AD Ent,135,-1,1,155517,3,2021-01-01,267.0
136,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,114,150,63,154738,3,2019-09-12,286.0
137,"Wren Evans, itsnk",Cầu Vĩnh Tuy,Universal Music Indochina,16,133,16,153673,3,2023-12-17,152.0
138,"Binz, Nomovodka",Hit Me Up (feat. Nomovodka),Spacespeakers,4,114,24,153425,3,2023-10-19,268.0
139,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,122,173,152571,3,2022-09-09,279.0
140,Dhruv,double take,Little Worry/RCA Records,8,147,152,152216,3,2022-01-21,172.0
141,"Kai Đinh, MIN, GREY D",để tôi ôm em bằng giai điệu này,Yin Yang Media,18,156,67,151933,3,2022-12-22,265.0
142,"2T, Văn",Liệu Giờ,LOOPS Music,22,135,187,151714,3,2019-04-14,259.0
143,tlinh,thế giới thần tiên,Universal Music Indochina Distributed Labels,62,138,31,151422,3,2023-08-16,171.0
144,"Ngọt, Mạc Mai Sương",Đá tan,Ngọt,55,115,39,151237,3,2022-11-25,202.0
145,"Obito, Shiki",Tell the kids i love them,12 trái lê,30,145,25,150388,3,2023-10-10,224.0
146,tlinh,tình yêu có nghĩa là gì?,Universal Music Indochina Distributed Labels,7,134,34,149624,3,2023-08-16,134.0
147,LE SSERAFIM,EASY,SOURCE MUSIC,93,174,7,149317,3,2024-02-19,165.0
148,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,153,96,148544,3,2018-01-01,231.0
149,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,160,82,146723,3,2020-06-29,217.0
150,Thịnh Suy,Chuyện Rằng,Yin Yang Media,5,144,191,146436,3,2020-08-08,272.0
151,buitruonglinh,Yêu Người Có Ước Mơ,LOOPS Music,83,148,51,146200,3,2022-12-26,296.0
152,"Dept, Ashley Alisha",Van Gogh (feat. Ashley Alisha),WM Korea,41,137,18,145364,3,2022-12-01,192.0
153,"Puppy, Dangrangto",Wrong Times,MaiDao Music,73,161,22,144881,3,2023-05-17,211.0
154,Ariana Grande,the boy is mine,Republic Records,98,129,4,144531,3,2024-03-08,174.0
155,Rhymastic,Nến Và Hoa,WM Vietnam,2,151,199,144003,3,2018-08-19,166.0
156,Lãng,Nụ hôn Bisou,12 trái lê,10,149,37,142942,3,2022-10-28,157.0
157,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,175,22,142754,3,2023-10-10,185.0
158,"Changg, Minh Huy",Em Không Hiểu,Universal Music Indochina Distributed Labels,27,158,144,142238,3,2021-06-28,237.0
159,"Văn Mai Hương, Hứa Kim Tuyền",Một Ngàn Nỗi Đau,Yin Yang Media,7,143,93,142158,3,2022-06-23,322.0
160,"Mer, Kriss Ngo",tâm,LOOPS Music,160,187,2,141838,3,2023-06-16,108.0
161,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,161,-1,1,140760,3,2023-03-03,328.0
162,"j-hope, HUH YUNJIN",i don't know (with HUH YUNJIN of LE SSERAFIM),BIGHIT MUSIC,162,-1,1,140608,3,2024-03-29,183.0
163,Sơn Tùng M-TP,Buông Đôi Tay Nhau Ra,Universal Music Indochina Distributed Labels,86,168,41,139166,3,2017-04-01,227.0
164,"PC, Dick, tofutns",Ghé Qua,12 trái lê,64,169,185,138848,3,2017-12-08,237.0
165,"j-hope, Nile Rodgers, benny blanco",lock / unlock (with benny blanco & Nile Rodgers),BIGHIT MUSIC,165,-1,1,138419,3,2024-03-29,182.0
166,"Rapital, Groovie Lã Thắng, tlinh, RPT MCK",XTC (Xích Thêm Chút) (Remix),M Music Records,87,163,144,138262,3,2021-06-21,244.0
167,"HIEUTHUHAI, Harmonie",Bật Nhạc Lên,GERDNANG,59,157,180,137911,3,2020-06-12,200.0
168,Quang Hùng MasterD,Thủy Triều,Quang Hùng MasterD,69,139,7,136805,3,2024-02-12,180.0
169,"52Hz, WEAN, RIO",ĐỢI (SPECIAL VERSION) [ft. WEAN],DAO Entertainment,102,-1,8,136410,3,2024-01-31,199.0
170,"VSOUL, MFREE, TUYEN VO",NGTANOISE,VSOUL,83,141,38,136056,3,2022-09-12,179.0
171,"W/N, Duongg, Nau",3 1 0 7 - 2 (feat. DuongG & Nau),GUM GROUP,27,165,162,133568,3,2021-02-04,269.0
172,buitruonglinh,Dù Cho Mai Về Sau,Yin Yang Media,10,178,159,133429,3,2020-11-17,234.0
173,"The Masked Singer, Voi Bản Đôn",Ngày Mai Người Ta Lấy Chồng (feat. Voi Bản Đôn),THE MASKED SINGER,39,162,33,133253,3,2023-08-13,317.0
174,Vũ Cát Tường,Người Bình Thường,Universal Music Indochina Distributed Labels,173,177,4,133251,3,2023-12-04,285.0
175,"Lou Hoàng, Miu Lê",Yêu Một Người Có Lẽ,Onlyc Entertainment,33,173,119,133023,3,2016-03-07,254.0
176,"Tăng Duy Tân, Hoà Minzy",Bật Tình Yêu Lên,Big Arts Entertainment,4,154,59,133002,3,2023-02-14,204.0
177,AMEE,đen đá không đường,Yin Yang Media,97,183,11,131818,3,2020-06-29,181.0
178,"JustaTee, BigDaddy",2AM,WM Vietnam,18,172,101,130399,3,2022-05-10,258.0
179,"SIVAN, Kai Đinh",haydeanhduoccungemdau,LOOPS Music,140,142,20,130334,3,2022-12-25,229.0
180,"tlinh, 2pillz, WOKEUP",ghệ iu dấu của em ơi,Universal Music Indochina Distributed Labels,8,185,58,129704,3,2023-08-16,205.0
181,Thịnh Suy,Thắc Mắc?,InQ International,137,152,17,129529,3,2019-01-01,206.0
182,"Vũ., TRANG",Anh Nhớ Ra (feat. TRANG),WM Vietnam,19,186,77,128870,3,2022-09-09,277.0
183,"Obito, Seachains",Simple Love,12 trái lê,155,170,18,128718,3,2022-11-29,214.0
184,"Sean, Lửa",Em Thích,MaiDao Music,65,155,63,127911,3,2021-12-03,176.0
185,Chillies,Giấc Mơ Khác,WM Vietnam,14,-1,56,127908,3,2023-02-09,223.0
186,Đức Phúc,Ngày Đầu Tiên,Duc Phuc,2,167,110,127246,3,2022-02-11,209.0
187,Tama,Ngày Em Đẹp Nhất,Tama,104,189,43,127051,3,2023-04-07,303.0
188,Andiez,1 Phút,MaiDao Music,21,171,164,126784,3,2017-08-07,376.0
189,Hoàng Dũng,Nàng Thơ,Yin Yang Media,2,179,189,126410,3,2020-12-16,254.0
190,"W/N, 267",id 2022 (feat. 267),W NATION,61,164,14,125920,3,2023-12-31,242.0
191,LE SSERAFIM,Perfect Night,SOURCE MUSIC,101,-1,16,125483,3,2023-10-27,159.0
192,"j-hope, JINBO the SuperFreak",what if… (dance mix),BIGHIT MUSIC,192,-1,1,125466,3,2024-03-29,196.0
193,AMEE,thay mọi cô gái yêu anh,Yin Yang Media,6,-1,34,124981,3,2022-02-06,215.0
194,"Orange, Hoàng Dũng",Khi Em Lớn,Orange,4,193,145,123708,3,2021-04-20,228.0
195,Low G,Okeokeoke,Rap Nhà Làm,103,180,52,123485,3,2020-11-09,139.0
196,BABYMONSTER,LIKE THAT,YG Entertainment,196,-1,1,123302,3,2024-04-01,168.0
197,"Tùng TeA, PC, TaynguyenSound",Già Cùng Nhau Là Được,12 trái lê,70,191,103,123082,3,2018-11-13,231.0
198,Phuc Du,yêu anh đi mẹ anh bán bánh mì,LOOPS Music,28,192,49,122935,3,2023-02-13,253.0
199,"MANBO, HIEUTHUHAI, HURRYKNG",Hẹn Gặp Em Dưới Ánh Trăng,Gerdnang,123,-1,14,122918,3,2020-09-25,222.0
200,"Rapital, RPT MCK, Phongkhin",Tay To,M Music Records,58,195,142,122724,3,2021-06-21,165.0
1,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,1,25,853644,4,2023-11-03,206.0
2,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,3,42,694635,4,2023-11-03,184.0
3,Vũ Cát Tường,Từng Là,Universal Music Indochina Distributed Labels,2,4,9,647085,4,2024-03-01,253.0
4,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,2,2,2,553531,4,2024-04-18,229.0
5,Jimin,Like Crazy,BIGHIT MUSIC,1,9,58,522435,4,2023-03-24,212.0
6,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,8,27,510470,4,2023-12-17,175.0
7,Sơn Tùng M-TP,Chúng Ta Của Tương Lai,Universal Music Indochina Distributed Labels,1,5,8,495852,4,2024-03-08,250.0
8,ILLIT,Magnetic,BELIFT LAB,5,6,6,484490,4,2024-03-25,161.0
9,V,Love Me Again,BIGHIT MUSIC,2,7,38,468610,4,2023-08-11,182.0
10,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,10,23,455285,4,2023-11-22,182.0
11,"ZICO, JENNIE",SPOT!,KOZ Entertainment,11,-1,1,446843,4,2024-04-26,168.0
12,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,1,11,20,442416,4,2023-12-14,236.0
13,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,12,13,35,424567,4,2023-07-28,155.0
14,V,FRI(END)S,BIGHIT MUSIC,1,12,7,407993,4,2024-03-15,148.0
15,"tlinh, 2pillz",nếu lúc đó,Universal Music Indochina Distributed Labels,1,16,61,384236,4,2023-08-16,264.0
16,Ronboogz,nhắn nhủ,MaiDao Music,16,22,20,377230,4,2023-12-12,241.0
17,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,14,126,373764,4,2021-12-01,208.0
18,"RPT MCK, Trung Trần",Chìm Sâu,N0L4B3L,1,15,114,368120,4,2023-03-02,156.0
19,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,20,91,367966,4,2022-08-04,242.0
20,Minh Huy,Miên Man,LOOPS Music,11,18,35,365843,4,2022-06-24,198.0
21,"VSOUL, RPT MCK, Obito, Ronboogz, Boyzed","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)",12 trái lê,3,17,19,352409,4,2023-12-25,292.0
22,HIEUTHUHAI,Không Thể Say,M Music Records,7,24,54,351315,4,2023-10-16,228.0
23,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,M Music Records,2,28,98,347724,4,2022-06-20,226.0
24,W/N,id 072019,Universal Music Indochina Distributed Labels,3,23,40,340964,4,2023-07-31,272.0
25,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,43,45,336618,4,2023-06-23,245.0
26,"The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền",Rồi Em Sẽ Gặp Một Chàng Trai Khác,THE MASKED SINGER,11,21,24,336403,4,2023-11-12,304.0
27,"Low G, Thắng",An Thần,Rap Nhà Làm,2,31,132,331686,4,2021-10-21,174.0
28,"52Hz, RIO",ĐỢI (Prod. RIO),DAO Entertainment,13,26,17,323600,4,2023-12-15,197.0
29,Olew,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,LOOPS Music,8,35,67,319347,4,2023-01-02,279.0
30,"Karik, GDucky",Bạn Đời,WM Vietnam,5,33,31,312531,4,2023-10-04,301.0
31,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,29,175,311510,4,2020-12-29,234.0
32,"Kai Đinh, GREY D, Hoàng Thùy Linh",Trái đất ôm Mặt trời,Yin Yang Media,8,25,19,309279,4,2023-12-18,195.0
33,Kha,Hư không,MaiDao Music,22,38,16,308990,4,2023-12-14,355.0
34,"WEAN, tlinh",shhhhhhh..,WEAN,9,32,30,307469,4,2023-10-07,231.0
35,SOOBIN,giá như,Spacespeakers,13,27,3,300851,4,2024-04-10,223.0
36,Phương Ly,Anh Là Ngoại Lệ Của Em,WM Vietnam,7,34,30,300362,4,2023-10-05,188.0
37,RPT MCK,Anh Đã Ổn Hơn,N0L4B3L,3,36,61,290080,4,2023-03-02,194.0
38,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,19,31,288376,4,2023-10-02,202.0
39,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,24,42,29,285605,4,2023-10-16,202.0
40,"RPT Orijinn, Ronboogz",Don't Côi,Rapital,3,37,71,283690,4,2022-11-20,149.0
41,"Kuun Đức Nam, Linh Thộn",Tình cờ yêu em,MaiDao Music,12,51,36,283277,4,2023-06-10,258.0
42,"Wren Evans, itsnk",Phóng Đổ Tim Em,Universal Music Indochina,9,47,20,283185,4,2023-12-17,134.0
43,"Da LAB, Phương Ly",Chạy Khỏi Thế Giới Này,LOOPS Music,11,46,96,280571,4,2022-06-30,255.0
44,Sabrina Carpenter,Espresso,Island Records,44,130,2,278383,4,2024-04-12,175.0
45,Ariana Grande,intro (end of the world),Republic Records,13,39,8,274387,4,2024-03-08,92.0
46,"Vũ Phụng Tiên, DT Tập Rap, Drum7",Lệ Lưu Ly,Big Arts Entertainment,6,49,32,272619,4,2023-09-20,201.0
47,"JSOL, Hoàng Duyên",Sài Gòn Hôm Nay Mưa,Universal Music Indochina,3,57,153,270768,4,2021-05-29,247.0
48,Phan Mạnh Quỳnh,"Sau Lời Từ Khước (Theme Song From ""MAI"")",Yin Yang Media,3,44,11,269949,4,2024-02-14,250.0
49,BABYMONSTER,SHEESH,YG Entertainment,45,45,5,268833,4,2024-04-01,170.0
50,"GREY D, Chillies",đưa em về nhàa,M Music Records,3,55,54,264223,4,2023-04-24,240.0
51,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,11,54,30,263402,4,2023-10-10,166.0
52,T.R.I,Ánh Sao Và Bầu Trời,Yin Yang Media,1,52,130,262931,4,2021-09-10,261.0
53,PC,10 Ngàn Năm,12 trái lê,53,60,99,262371,4,2019-12-21,240.0
54,Ariana Grande,we can't be friends (wait for your love),Republic Records,17,41,8,258791,4,2024-03-08,229.0
55,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,56,30,256499,4,2023-10-10,227.0
56,Low G,Simp Gái 808,Rap Nhà Làm,9,48,29,255857,4,2023-10-18,162.0
57,"Wren Evans, itsnk",Tò Te Tí,Universal Music Indochina,3,58,20,255436,4,2023-12-17,195.0
58,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,DANDERLÉON,9,62,158,255361,4,2023-03-03,300.0
59,BTS,Run,BIGHIT MUSIC,59,-1,3,247544,4,2015-11-30,237.0
60,"JustaTee, Phương Ly",Thằng Điên,NGUYEN THANH TUAN,2,63,91,245890,4,2022-07-11,234.0
61,"RPT MCK, tlinh",Chỉ Một Đêm Nữa Thôi,N0L4B3L,9,59,61,245271,4,2023-03-02,142.0
62,Andree Right Hand,Chơi Như Tụi Mỹ,$maker Music,4,67,50,243710,4,2022-12-30,161.0
63,Ronboogz,Lan Man,MaiDao Music,33,71,55,239607,4,2023-03-25,216.0
64,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,64,189,238687,4,2023-07-14,178.0
65,"MONSTAR, GREY D, NICKY, VƯƠNG BÌNH",tình yêu chậm trễ,Yin Yang Media,46,65,73,231069,4,2021-08-01,245.0
66,"JustaTee, BigDaddy",2AM,WM Vietnam,18,61,105,230502,4,2022-05-10,258.0
67,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,69,29,229459,4,2023-10-16,171.0
68,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,Universal Music Indochina Distributed Labels,1,75,176,227716,4,2020-12-20,302.0
69,UMIE,Không Yêu Xin Đừng Nói - Piano Version,LOOPS Music,37,74,61,223491,4,2022-01-22,244.0
70,"Shartnuss, Tr.D, Phankeo",Nắng có mang em về,MaiDao Music,70,91,12,222342,4,2023-10-21,254.0
71,"HIEUTHUHAI, Negav, Kewtiie",ngủ một mình (tình rất tình),M Music Records,2,76,72,217575,4,2022-12-15,192.0
72,"MONO, Onionn.",Em Xinh,M Music Records,10,77,18,214797,4,2023-11-30,183.0
73,"Andree Right Hand, Wxrdie, Bình Gold, 2pillz",Em iu,$maker Music,18,92,49,214576,4,2022-01-30,180.0
74,Thắng,Xin Lỗi,Thắng,5,101,50,210517,4,2023-04-30,127.0
75,Myra Trần,Anh Chưa Thương Em Đến Vậy Đâu,Sony Music Entertainment,6,89,69,208711,4,2023-01-04,271.0
76,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,81,106,207141,4,2022-04-22,219.0
77,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,70,86,5,206967,4,2023-03-03,328.0
78,"An Vũ, Sino",Chàng Trai Bất Tử,Yin Yang Media,56,72,13,205024,4,2024-01-11,233.0
79,"Vũ., Hà Anh Tuấn",Dành Hết Xuân Thì Để Chờ Nhau,WM Vietnam,13,70,7,204197,4,2024-03-14,288.0
80,"Wren Evans, itsnk",bé ơi từ từ,Universal Music Indochina,8,84,20,203855,4,2023-12-17,201.0
81,"W/N, Duongg, Nau, titie",3107 3,Universal Music Indochina Distributed Labels,1,83,144,194743,4,2021-07-31,240.0
82,Bích Phương,Nâng Chén Tiêu Sầu,Yin Yang Media,7,68,8,193930,4,2024-03-08,185.0
83,Thịnh Suy,Chết Trong Em,InQ International,4,85,79,193160,4,2022-11-17,257.0
84,GREY D,dự báo thời tiết hôm nay mưa,M Music Records,7,88,76,193081,4,2022-11-22,281.0
85,Lynk Lee,Buồn Thì Cứ Khóc Đi,Lynk Lee,10,95,227,191804,4,2019-12-13,222.0
86,"Đen, JustaTee",Đi Về Nhà,Đen,3,93,176,191389,4,2020-12-20,200.0
87,Da LAB,Thức Giấc,Yin Yang Media,1,94,147,190116,4,2021-07-14,269.0
88,HIEUTHUHAI,Nghe Như Tình Yêu,M Music Records,46,106,137,189907,4,2021-07-09,193.0
89,"BigDaddy, Emily",Yêu Nắm,Yin Yang Media,26,82,11,188917,4,2024-02-13,227.0
90,Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,Universal Music Indochina Distributed Labels,1,97,158,187492,4,2021-04-29,276.0
91,"MONSTAR, GREY D, VƯƠNG BÌNH",có hẹn với thanh xuân,Yin Yang Media,5,90,146,185423,4,2021-08-01,218.0
92,"W/N, Tezzy, Tien",Crush 2,RioX Records,61,137,97,184708,4,2019-12-07,120.0
93,"Andiez, AMEE",Anh Đánh Rơi Người Yêu Này,MaiDao Music,19,132,78,184164,4,2019-07-15,218.0
94,Ronboogz,Nói Dối,MaiDao Music,79,120,26,183969,4,2022-12-12,206.0
95,Sơn Tùng M-TP,Nơi Này Có Anh,Universal Music Indochina Distributed Labels,5,108,256,183103,4,2017-04-01,260.0
96,"W/N, ERIK, Nau","3107 4 (feat. Erik, Nâu)",Universal Music Indochina Distributed Labels,24,96,55,182793,4,2022-07-31,214.0
97,TRANG,Chưa Được Yêu Như Thế,Trang Music Productions,61,80,7,180843,4,2022-06-18,254.0
98,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,98,107,80,180353,4,2022-03-28,270.0
99,"Andree Right Hand, RHYDER, WOKEUP",Dân Chơi Sao Phải Khóc,$maker Music,16,102,17,179980,4,2024-01-05,211.0
100,Sơn Tùng M-TP,Âm Thầm Bên Em,Universal Music Indochina Distributed Labels,35,115,184,179260,4,2017-04-01,293.0
101,Thịnh Suy,Mai Mình Xa,InQ International,101,138,3,178000,4,2019-12-20,189.0
102,"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),"HONG AN ENTERTAIMENT,.JSC",11,78,195,177621,4,2020-05-11,235.0
103,Mitski,My Love Mine All Mine,Dead Oceans,30,104,30,177430,4,2023-09-15,138.0
104,"Đen, PiaLinh",Nấu ăn cho em,Đen,8,118,43,177325,4,2023-05-13,241.0
105,Ronboogz,Anh Chỉ Muốn,MaiDao Music,86,99,16,176962,4,2023-10-18,168.0
106,"Wxrdie, Andree Right Hand, Machiot",TETVOVEN,M Music Records,39,126,22,175768,4,2023-12-03,197.0
107,Low G,Tán Gái 505,Rap Nhà Làm,65,131,50,175079,4,2021-05-31,156.0
108,"Ngọt, Đen",Cho Tôi Lang Thang,Ngọt,35,125,205,174438,4,2018-03-27,259.0
109,Ngọt,LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,5,105,166,172527,4,2019-06-10,223.0
110,AMEE,trời giấu trời mang đi,Yin Yang Media,52,133,66,172135,4,2020-06-29,254.0
111,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,98,22,170883,4,2021-06-01,310.0
112,"SUNI Hạ Linh, Hoàng Dũng, GREY D, Orange, tlinh",có hẹn với thanh xuân,Universal Music Indochina Distributed Labels,27,121,92,170382,4,2022-07-24,222.0
113,Nguyễn Minh Xuân Ái,Là Từ Lúc,AD Ent,97,110,5,169247,4,2021-01-01,267.0
114,"BigDaddy, Emily",Mượn Rượu Tỏ Tình,MUNIZ MUSIC COMPANY LIMITED,1,142,164,169161,4,2019-01-18,198.0
115,Andiez,Chờ Đợi Có Đáng Sợ,Yin Yang Media,76,123,98,167866,4,2020-07-20,283.0
116,Vũ Cát Tường,Mơ,Universal Music Indochina Distributed Labels,100,139,88,167147,4,2016-01-01,262.0
117,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,134,86,166251,4,2020-06-29,217.0
118,"RPT MCK, Trung Trần",Thôi Em Đừng Đi,N0L4B3L,8,103,61,166231,4,2023-03-02,173.0
119,Vũ Cát Tường,Vết Mưa,Universal Music Indochina Distributed Labels,57,177,25,164745,4,2014-01-01,210.0
120,"AMEE, Hoàng Dũng",từ thích thích thành thương thương,Yin Yang Media,6,127,128,164697,4,2020-12-16,204.0
121,"DMT, Dangrangto, TeuYungBoy, summerdayy, Rocky CDE",Ổ Quỷ,Smiley Panda,121,-1,1,163983,4,2024-02-05,179.0
122,"PhucXp, Freak D",Như Anh Đã Thấy Em,MaiDao Music,33,119,71,163931,4,2022-05-20,302.0
123,RPT MCK,Tại Vì Sao,N0L4B3L,3,116,84,163627,4,2023-03-02,203.0
124,Andiez,Suýt Nữa Thì...,MaiDao Music,82,117,95,163557,4,2018-08-13,281.0
125,Wren Evans,Thích Em Hơi Nhiều,Universal Music Indochina,1,122,150,163176,4,2021-06-18,172.0
126,HYBS,Tip Toe,JUICEY,52,109,23,162993,4,2023-06-20,225.0
127,Thịnh Suy,tiny love,Yin Yang Media,3,112,126,162792,4,2021-12-05,158.0
128,"Puppy, Dangrangto",Wrong Times,MaiDao Music,73,159,26,162543,4,2023-05-17,211.0
129,"GREY D, Orange, Kai Đinh",lời tạm biệt chưa nói,Universal Music Indochina Distributed Labels,22,136,93,162453,4,2022-07-24,259.0
130,Da LAB,Thanh Xuân,Sony Music Entertainment,1,128,297,161239,4,2018-08-24,221.0
131,Vũ.,Lạ Lùng,WM Vietnam,17,129,317,161042,4,2016-12-24,262.0
132,Taylor Swift,Cruel Summer,Taylor Swift,5,114,53,160699,4,2019-08-23,178.0
133,"Đen, Phương Anh Đào",Lối Nhỏ,Đen,1,150,236,160186,4,2019-10-21,253.0
134,Thịnh Suy,Thắc Mắc?,InQ International,134,153,21,159188,4,2019-01-01,206.0
135,"Chillies, SUNI Hạ Linh, Rhymastic",Cứ Chill Thôi,WM Vietnam,5,146,173,159176,4,2020-07-11,270.0
136,"Wren Evans, itsnk",Call Me,Universal Music Indochina,12,135,38,159000,4,2023-12-17,215.0
137,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,148,26,158856,4,2023-10-10,185.0
138,"Orange, Hoàng Dũng",Khi Em Lớn,Orange,4,145,149,158332,4,2021-04-20,228.0
139,Rhymastic,Nến Và Hoa,WM Vietnam,2,151,203,158013,4,2018-08-19,166.0
140,"BigDaddy, Emily",Ngõ Chạm,LOOPS Music,41,143,39,157909,4,2023-08-03,232.0
141,"Lil Wuyn, 16 BrT, 16 Typh",TOKYO Cypher,12 trái lê,45,124,26,155505,4,2023-10-12,179.0
142,Dhruv,double take,Little Worry/RCA Records,8,149,156,155217,4,2022-01-21,172.0
143,"PC, Dick, tofutns",Ghé Qua,12 trái lê,64,171,189,154191,4,2017-12-08,237.0
144,"Winno, Hustlang Robber",Muốn anh đau,Yin Yang Media,106,140,8,154124,4,2024-02-14,341.0
145,"2T, Văn",Liệu Giờ,LOOPS Music,22,158,191,153573,4,2019-04-14,259.0
146,The Masked Singer,Khóa Ly Biệt,THE MASKED SINGER,53,141,25,151591,4,2023-11-05,312.0
147,Thắng,Trước Khi Em Tồn Tại,Thắng,22,161,50,150235,4,2023-04-30,194.0
148,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,114,160,67,149622,4,2019-09-12,286.0
149,"Obito, Shiki",Tell the kids i love them,12 trái lê,30,152,29,149584,4,2023-10-10,224.0
